step,success_rate,policy_entropy,kl_div,mean_advantage,adv_std,grad_norm,grad_second_moment
0,0.0,0.14336365275084972,2.4754373729228973,-0.7625000029802322,0.25931054167449474,0.29781052470207214,1.6057260239844134e-07
1,0.0,0.16425235010683537,2.171679273247719,-0.9062499776482582,0.21932678297162056,0.29804056882858276,1.5952503621145417e-07
2,0.0,0.14827855303883553,2.474885582923889,-0.8374999910593033,0.26490854658186436,0.3155190050601959,1.805858533579454e-07
3,0.0,0.14853846281766891,2.2831232100725174,-0.8031250089406967,0.2782358108088374,0.29668769240379333,1.5941218777126954e-07
4,0.0,0.15603970922529697,2.0543935745954514,-0.8531250059604645,0.21835057623684406,0.2849975526332855,1.4292398495831985e-07
5,0.0,0.15387973003089428,2.2344105392694473,-0.8781249970197678,0.2148325815796852,0.37544137239456177,2.7806959398460895e-07
6,0.03125,0.1467015938833356,2.2667862474918365,-0.6749999970197678,0.42517533525824547,0.2998298704624176,1.591151721231455e-07
7,0.0,0.154469083994627,2.2275982946157455,-0.800000011920929,0.23176266625523567,0.2772294282913208,1.3601597905165326e-07
8,0.0,0.1472128089517355,2.1453841030597687,-0.7500000074505806,0.23053726693615317,0.2565200626850128,1.1225919822199266e-07
9,0.0,0.1517072431743145,2.4750338047742844,-0.7593749985098839,0.25520329736173153,0.3348067104816437,2.0397306053759667e-07
10,0.0,0.14791926555335522,2.2632609754800797,-0.7406249940395355,0.23028674721717834,0.28360715508461,1.4509450860751403e-07
11,0.0,0.1590884793549776,2.1807741820812225,-0.8843749985098839,0.26785254292190075,0.31891578435897827,1.8737171994134078e-07
12,0.0,0.149430425837636,1.9932510703802109,-0.8031249865889549,0.22013086825609207,0.3051144480705261,1.7000256821102834e-07
13,0.0,0.14167132042348385,2.347768723964691,-0.6843750029802322,0.35195697098970413,0.31008923053741455,1.7841288024734906e-07
14,0.0,0.15835911594331264,2.2467168122529984,-0.8312499970197678,0.29205550998449326,0.304874449968338,1.6654401512454403e-07
15,0.0,0.14016746170818806,2.0734556168317795,-0.7781249731779099,0.26042370311915874,0.27073201537132263,1.288768576040395e-07
16,0.0,0.14678866043686867,2.30280938744545,-0.6593749895691872,0.29132507741451263,0.3237636983394623,1.939205579760149e-07
17,0.0,0.1578008569777012,2.4774055927991867,-0.7812499925494194,0.29090355709195137,0.29657790064811707,1.5470237746803684e-07
18,0.0,0.14933520928025246,2.6658237278461456,-0.7718750014901161,0.29586976021528244,0.2843104302883148,1.415883613633627e-07
19,0.0,0.14480422623455524,2.494972348213196,-0.7031249888241291,0.2850564494729042,0.28806358575820923,1.503773394832846e-07
20,0.0,0.14795507118105888,2.836774304509163,-0.6656249985098839,0.3182440362870693,0.3361833989620209,2.1269396104632723e-07
21,0.0,0.1384334098547697,2.7315990179777145,-0.7281249910593033,0.3378598652780056,0.293178915977478,1.5747225571384064e-07
22,0.0,0.149754723533988,2.751526340842247,-0.765625,0.2547623924911022,0.27733132243156433,1.3598240970039395e-07
